predicted_x	predicted_y	predicted_ax	predicted_ay	measured_x	measured_y	actual_x	actual_y	actual_ax	actual_ay
10.7685	-0.129284	-0.959316	2.58863	10.5062	-0.245062	10.5	-0.25	-2.72796	1.81864
10.5522	-0.0590736	-1.38866	2.39931	10.3438	-0.150982	10.35	-0.15	-2.72796	1.81864
10.4759	0.0727828	-1.38866	2.39931	10.4884	-0.0812124	10.25	-0.0999996	-1.81964	0.909826
10.2912	0.0931471	-1.67316	2.10671	10.1537	-0.0482457	10.15	-0.0499992	-1.81963	0.909818
10.1993	0.208879	-1.67316	2.10671	9.92588	0.00395802	10	9.49949e-07	-2.73049	0.910169
9.99672	0.196832	-1.96347	1.77139	9.85676	0.0351738	9.85	0.0500011	-2.73047	0.910161
9.88862	0.294361	-1.96347	1.77139	9.63973	0.0585714	9.7	0.0500011	-2.72439	0
9.67713	0.235203	-2.23473	1.36024	9.54669	0.0374948	9.55	0.0500011	-2.72438	0
9.55424	0.310004	-2.23473	1.36024	9.32242	0.112393	9.4	0.100001	-2.72773	0.90923
9.34868	0.282528	-2.45164	1.09187	9.24446	0.153574	9.25	0.15	-2.7277	0.909222
9.21381	0.342598	-2.45164	1.09187	9.0614	0.20077	9.1	0.2	-2.72652	0.908843
9.02078	0.339659	-2.60422	0.926538	8.94752	0.260272	8.95	0.25	-2.72653	0.908843
8.87757	0.390611	-2.60422	0.926538	8.90199	0.247143	8.85	0.25	-1.81847	0
8.74578	0.362878	-2.57426	0.72007	8.76016	0.263752	8.75	0.25	-1.81846	0
8.60405	0.402523	-2.57426	0.72007	8.46355	0.258809	8.55	0.25	-3.6326	0
8.41422	0.358243	-2.70047	0.499852	8.35367	0.252596	8.35	0.25	-3.6326	0
8.26575	0.385723	-2.70047	0.499852	8.05161	0.241868	8.2	0.25	-2.72841	0
8.08933	0.34003	-2.77385	0.307843	8.05411	0.247878	8.05	0.25	-2.72842	0
7.93675	0.356962	-2.77385	0.307843	7.78653	0.205765	7.9	0.2	-2.72708	-0.909025
7.76612	0.272152	-2.82122	0.0408669	7.74339	0.144028	7.75	0.15	-2.72705	-0.909016
7.61121	0.274396	-2.82122	0.0408669	7.77346	0.0969346	7.6	0.100001	-2.73169	-0.910554
7.45511	0.174257	-2.82432	-0.227792	7.45362	0.0452052	7.45	0.0500011	-2.73169	-0.910554
7.31379	0.16286	-2.82432	-0.227792	7.15329	0.0425189	7.3	0.0500011	-2.99789	0
7.16977	0.0987674	-2.83144	-0.36629	7.16618	0.0287673	7.15	0.0500011	-2.9979	0
